id,name,price,image,category,description,images,sizes,stock
01,Henley Polo,750,/shirt-01,shirts,Classic henley style polo with soft fabric,/shirt-01,S|M|L|XL|XXL,In Stock
02,Cream Cotton Polo,750,/shirt-02,shirts,Cream cotton polo for casual wear,/shirt-02,S|M|L|XL|XXL,In Stock
03,Taupe Fabric Polo,750,/shirt-03,shirts,Taupe color polo with premium fabric,/shirt-03,S|M|L|XL|XXL,In Stock
04,Black Pique Polo,750,/shirt-04,shirts,Black pique polo with breathable texture,/shirt-04,S|M|L|XL|XXL,In Stock
05,Olive Gray Polo,750,/shirt-05,shirts,Olive gray polo shirt for everyday use,/shirt-05,S|M|L|XL|XXL,In Stock
06,Brown Striped Shirt,550,/shirt-06,shirts,Brown striped casual shirt,/shirt-06,S|M|L|XL|XXL,In Stock
07,Beige Striped Tee,550,/shirt-07,shirts,Beige striped tee shirt,/shirt-07,S|M|L|XL|XXL,In Stock
08,White Long Sleeve Tee,650,/shirt-08,shirts,White long sleeve tee shirt,/shirt-08,S|M|L|XL|XXL,In Stock
09,Grey Long Sleeve Tee,650,/shirt-09,shirts,Grey long sleeve tee shirt,/shirt-09,S|M|L|XL|XXL,In Stock
10,Light Blue Long Sleeve Tee,650,/shirt-10,shirts,Light blue long sleeve tee shirt,/shirt-10,S|M|L|XL|XXL,In Stock
11,White Leaf Print Shirt,800,/shirt-11,shirts,White shirt with leaf print design,/shirt-11,S|M|L|XL|XXL,In Stock
12,Cream Abstract Print Shirt,800,/shirt-12,shirts,Cream shirt with abstract print,/shirt-12,S|M|L|XL|XXL,In Stock
13,Gray Monogram Print Shirt,800,/shirt-13,shirts,Gray shirt with monogram print,/shirt-13,S|M|L|XL|XXL,In Stock
14,Dusty Blue Floral Shirt,800,/shirt-14,shirts,Dusty blue shirt with floral pattern,/shirt-14,S|M|L|XL|XXL,In Stock
15,Sage Green Polo,650,/shirt-15,shirts,Sage green polo shirt,/shirt-15,S|M|L|XL|XXL,In Stock
16,White Polo,650,/shirt-16,shirts,Classic white polo shirt,/shirt-16,S|M|L|XL|XXL,In Stock
